listing_id,date
2352,2014-04-19
2352,2014-08-26
2352,2015-03-24
2352,2015-10-17
2352,2015-10-19
2352,2015-10-26
2352,2015-11-04
2352,2015-11-25
2352,2015-12-01
2352,2016-01-02
2352,2017-02-19
2352,2017-05-08
2352,2017-06-30
2352,2017-09-17
2354,2016-04-25
42521,2010-08-30
42521,2017-09-11
42521,2017-11-02
42521,2017-11-10
42521,2017-11-15
42521,2017-11-20
42521,2017-11-26
42521,2017-12-02
42521,2017-12-09
42521,2017-12-16
42521,2017-12-17
42521,2017-12-19
42521,2017-12-28
42521,2017-12-30
42521,2018-01-02
42521,2018-01-08
42521,2018-01-13
42521,2018-01-18
42521,2018-01-28
42521,2018-02-08
42521,2018-02-11
42521,2018-02-15
42521,2018-02-17
42521,2018-02-28
42521,2018-03-01
42521,2018-03-04
42521,2018-03-10
42521,2018-03-14
42521,2018-03-15
42521,2018-03-17
42521,2018-03-18
42521,2018-03-29
42521,2018-04-02
42521,2018-04-07
42521,2018-04-12
42521,2018-04-19
42521,2018-04-22
42521,2018-04-24
42521,2018-04-25
42521,2018-04-26
42521,2018-05-03
42521,2018-05-04
42521,2018-05-06
42521,2018-05-12
42521,2018-05-19
42521,2018-05-20
42521,2018-05-23
42521,2018-05-24
42521,2018-05-27
42521,2018-05-31
42521,2018-06-09
42521,2018-06-12
42521,2018-06-14
42521,2018-06-17
42521,2018-06-20
42521,2018-06-21
42521,2018-06-24
42521,2018-06-30
42521,2018-07-04
45145,2010-10-15
45145,2010-11-06
52796,2011-02-07
52796,2011-03-10
52796,2011-03-26
52796,2011-05-03
52796,2011-05-10
52796,2011-05-14
52796,2011-05-18
52796,2011-08-27
52796,2011-09-09
52796,2011-09-12
52796,2011-09-20
52796,2011-09-28
52796,2011-10-02
52796,2011-11-01
52796,2011-11-22
52796,2011-12-16
52796,2012-02-19
52796,2012-03-28
52796,2012-04-28
52796,2012-05-05
52796,2012-05-13
52796,2012-06-12
52796,2012-06-23
52796,2012-06-29
52796,2012-09-17
52796,2012-09-23
52796,2012-10-07
52796,2012-10-22
52796,2012-12-05
52796,2012-12-18
52796,2012-12-24
52796,2013-01-03
52796,2013-02-22
52796,2013-03-10
52796,2013-03-23
52796,2013-04-01
52796,2013-07-21
52796,2013-07-22
52796,2014-10-21
52796,2014-11-02
52796,2015-04-19
52796,2015-04-22
52796,2015-04-27
52796,2015-05-06
52796,2015-05-12
52796,2015-05-19
52796,2015-06-14
52796,2015-06-22
52796,2015-06-27
52796,2015-07-06
52796,2015-07-15
52796,2015-08-21
52796,2015-10-13
52796,2015-11-01
52796,2015-11-10
52796,2015-11-19
52796,2015-11-23
52796,2015-12-13
52796,2016-01-01
52796,2016-03-29
52796,2016-04-29
52796,2016-05-10
52796,2016-05-16
52796,2016-05-30
52796,2016-06-20
52796,2016-06-26
52796,2016-10-15
52796,2016-10-27
52796,2016-11-26
52796,2016-12-30
52796,2017-01-04
52796,2017-02-13
52796,2017-03-31
52796,2017-05-31
52796,2017-06-15
52796,2017-06-24
52796,2017-09-10
52796,2017-10-02
52796,2017-10-14
52796,2018-02-09
52796,2018-03-26
52796,2018-04-02
52796,2018-04-29
52796,2018-05-27
52796,2018-06-30
77979,2011-08-02
77979,2012-06-24
79356,2015-03-16
79356,2016-04-04
79356,2017-09-09
80257,2012-10-24
80257,2017-11-26
80320,2011-05-06
80320,2011-06-23
80320,2011-09-17
80320,2015-12-28
80320,2016-02-14
80320,2016-02-22
80320,2016-05-15
80320,2016-05-21
80320,2016-08-21
80320,2016-09-23
80320,2016-09-25
80320,2016-10-24
80320,2016-11-01
80320,2016-11-13
80320,2016-11-23
80320,2016-12-04
80320,2016-12-08
80320,2017-01-29
80320,2017-02-05
80320,2017-02-11
80320,2017-03-13
80320,2017-05-01
80320,2017-05-24
80320,2017-06-23
80320,2017-07-16
80320,2017-11-28
80320,2017-12-03
80320,2017-12-29
80320,2018-01-08
80320,2018-01-15
80320,2018-01-28
80320,2018-03-01
80320,2018-04-29
80320,2018-05-15
80320,2018-06-01
80373,2016-04-07
80373,2018-03-25
80373,2018-05-20
88206,2011-05-06
88206,2011-05-07
88206,2011-05-27
88206,2011-05-28
88206,2011-07-02
88206,2013-02-06
88206,2013-08-31
88206,2013-09-24
96293,2011-05-06
96293,2011-05-24
96293,2011-06-23
96293,2011-06-30
96293,2011-08-01
96293,2011-09-26
96293,2011-10-06
96293,2011-10-30
96293,2011-11-15
96293,2012-01-03
96293,2012-03-01
96293,2012-03-26
96293,2012-05-29
96293,2012-06-04
96293,2012-07-31
96293,2012-10-15
96293,2012-12-24
96293,2013-01-02
96293,2013-05-07
96293,2013-05-21
96293,2013-06-16
96293,2013-06-23
96293,2013-06-26
96293,2013-10-24
96293,2013-11-04
96293,2013-11-25
96293,2013-12-09
96293,2014-01-20
96293,2014-02-10
96293,2014-03-31
96293,2014-11-23
96293,2015-03-23
96293,2015-06-30
96293,2015-08-02
96293,2015-10-11
96293,2016-07-29
96293,2016-11-01
96293,2016-12-11
96293,2017-01-01
96293,2017-02-12
96293,2017-05-14
96293,2017-06-19
96293,2017-10-22
96293,2017-12-17
96293,2018-02-14
96642,2011-05-06
96642,2011-05-24
96642,2011-09-16
96642,2011-09-23
96642,2011-11-03
96642,2012-05-08
96642,2015-05-17
96642,2016-01-18
96642,2016-02-02
96642,2016-11-13
96642,2016-12-04
96642,2016-12-18
96642,2017-02-11
96642,2017-02-27
96642,2017-03-19
96642,2017-05-29
96642,2018-03-02
96642,2018-03-04
96642,2018-04-19
96694,2011-09-22
96694,2013-03-25
96694,2014-05-05
96694,2014-08-30
96694,2015-01-19
96694,2015-02-08
96694,2015-02-26
96694,2015-08-18
96694,2015-11-13
96694,2016-04-03
96694,2016-06-13
96694,2016-07-02
96694,2016-10-23
96694,2016-11-01
96694,2016-11-13
96694,2017-03-10
96694,2017-04-30
96694,2017-05-26
96694,2017-06-02
96694,2017-06-11
96694,2017-06-16
96694,2017-06-25
96694,2017-07-01
96694,2017-07-06
96694,2017-07-10
96694,2017-07-13
96694,2017-09-23
96694,2017-11-26
97740,2012-01-23
97740,2015-04-20
97740,2016-05-26
118707,2011-05-31
118707,2011-06-06
118707,2011-06-14
118707,2011-06-18
118707,2011-06-20
118707,2011-06-24
118707,2011-07-08
118707,2011-08-02
118707,2011-08-12
118707,2011-09-14
118707,2011-09-19
118707,2011-09-22
118707,2011-10-01
118707,2011-11-04
118707,2011-11-05
118707,2012-03-19
